x-axis,1,2,3
second,Volt,Volt,Volt
-2.870000E-06,+2.453668311238E+00,+2.443216074724E+00,+2.623115576571E+00
-2.865000E-06,+2.373266302049E+00,+2.408040195704E+00,+2.570351758040E+00
-2.860000E-06,+2.539095446002E+00,+2.450753763085E+00,+2.419597990811E+00
-2.855000E-06,+2.765226096846E+00,+2.769849237055E+00,+2.344221107196E+00
-2.850000E-06,+2.684824087657E+00,+2.450753763085E+00,+2.500000000000E+00
-2.845000E-06,+2.453668311238E+00,+2.410552758491E+00,+2.623115576571E+00
-2.840000E-06,+2.453668311238E+00,+2.408040195704E+00,+2.575376883615E+00
-2.835000E-06,+2.453668311238E+00,+2.410552758491E+00,+2.419597990811E+00
-2.830000E-06,+2.694874338806E+00,+2.772361799842E+00,+2.379396986216E+00
-2.825000E-06,+2.765226096846E+00,+2.488442204893E+00,+2.469849246554E+00
-2.820000E-06,+2.453668311238E+00,+2.408040195704E+00,+2.660804018378E+00
-2.815000E-06,+2.373266302049E+00,+2.408040195704E+00,+2.580402009189E+00
-2.810000E-06,+2.453668311238E+00,+2.450753763085E+00,+2.419597990811E+00
-2.805000E-06,+2.694874338806E+00,+2.772361799842E+00,+2.376884423429E+00
-2.800000E-06,+2.694874338806E+00,+2.490954767680E+00,+2.502512562787E+00
-2.795000E-06,+2.433567808941E+00,+2.448241200298E+00,+2.623115576571E+00
-2.790000E-06,+2.443618060090E+00,+2.410552758491E+00,+2.580402009189E+00
-2.785000E-06,+2.534070320427E+00,+2.410552758491E+00,+2.384422111791E+00
-2.780000E-06,+2.694874338806E+00,+2.777386925416E+00,+2.384422111791E+00
-2.775000E-06,+2.755175845698E+00,+2.523618083913E+00,+2.502512562787E+00
-2.770000E-06,+2.378291427623E+00,+2.448241200298E+00,+2.655778892804E+00
-2.765000E-06,+2.373266302049E+00,+2.408040195704E+00,+2.575376883615E+00
-2.760000E-06,+2.539095446002E+00,+2.450753763085E+00,+2.452261307044E+00
-2.755000E-06,+2.694874338806E+00,+2.810050241649E+00,+2.379396986216E+00
-2.750000E-06,+2.694874338806E+00,+2.488442204893E+00,+2.469849246554E+00
-2.745000E-06,+2.373266302049E+00,+2.448241200298E+00,+2.620603013784E+00
-2.740000E-06,+2.443618060090E+00,+2.448241200298E+00,+2.575376883615E+00
-2.735000E-06,+2.458693436813E+00,+2.448241200298E+00,+2.417085428024E+00
-2.730000E-06,+2.614472329617E+00,+2.772361799842E+00,+2.417085428024E+00
-2.725000E-06,+2.619497455191E+00,+2.528643209487E+00,+2.502512562787E+00
-2.720000E-06,+2.453668311238E+00,+2.448241200298E+00,+2.623115576571E+00
-2.715000E-06,+2.363216050901E+00,+2.408040195704E+00,+2.575376883615E+00
-2.710000E-06,+2.458693436813E+00,+2.450753763085E+00,+2.457286432618E+00
-2.705000E-06,+2.694874338806E+00,+2.772361799842E+00,+2.344221107196E+00
-2.700000E-06,+2.684824087657E+00,+2.490954767680E+00,+2.464824120980E+00
-2.695000E-06,+2.443618060090E+00,+2.443216074724E+00,+2.620603013784E+00
-2.690000E-06,+2.433567808941E+00,+2.443216074724E+00,+2.575376883615E+00
-2.685000E-06,+2.534070320427E+00,+2.410552758491E+00,+2.452261307044E+00
-2.680000E-06,+2.699899464380E+00,+2.772361799842E+00,+2.344221107196E+00
-2.675000E-06,+2.684824087657E+00,+2.523618083913E+00,+2.502512562787E+00
-2.670000E-06,+2.453668311238E+00,+2.410552758491E+00,+2.582914571976E+00
-2.665000E-06,+2.363216050901E+00,+2.403015070129E+00,+2.540201004595E+00
-2.660000E-06,+2.539095446002E+00,+2.450753763085E+00,+2.424623116385E+00
-2.655000E-06,+2.694874338806E+00,+2.810050241649E+00,+2.379396986216E+00
-2.650000E-06,+2.614472329617E+00,+2.490954767680E+00,+2.500000000000E+00
-2.645000E-06,+2.373266302049E+00,+2.483417079318E+00,+2.620603013784E+00
-2.640000E-06,+2.443618060090E+00,+2.448241200298E+00,+2.540201004595E+00
-2.635000E-06,+2.534070320427E+00,+2.410552758491E+00,+2.419597990811E+00
-2.630000E-06,+2.684824087657E+00,+2.812562804436E+00,+2.379396986216E+00
-2.625000E-06,+2.614472329617E+00,+2.488442204893E+00,+2.464824120980E+00
-2.620000E-06,+2.443618060090E+00,+2.448241200298E+00,+2.628140702145E+00
-2.615000E-06,+2.373266302049E+00,+2.448241200298E+00,+2.575376883615E+00
-2.610000E-06,+2.458693436813E+00,+2.450753763085E+00,+2.457286432618E+00
-2.605000E-06,+2.694874338806E+00,+2.772361799842E+00,+2.344221107196E+00
-2.600000E-06,+2.694874338806E+00,+2.490954767680E+00,+2.464824120980E+00
-2.595000E-06,+2.373266302049E+00,+2.448241200298E+00,+2.623115576571E+00
-2.590000E-06,+2.373266302049E+00,+2.448241200298E+00,+2.575376883615E+00
-2.585000E-06,+2.458693436813E+00,+2.448241200298E+00,+2.417085428024E+00
-2.580000E-06,+2.699899464380E+00,+2.812562804436E+00,+2.344221107196E+00
-2.575000E-06,+2.684824087657E+00,+2.523618083913E+00,+2.500000000000E+00
-2.570000E-06,+2.378291427623E+00,+2.443216074724E+00,+2.620603013784E+00
-2.565000E-06,+2.363216050901E+00,+2.410552758491E+00,+2.580402009189E+00
-2.560000E-06,+2.534070320427E+00,+2.410552758491E+00,+2.457286432618E+00
